,date,day,hour,days_of_week,text
60,2019-05-30 14:22:52,30,14,Thursday,Accident on CTE (towards SLE) after PIE(Changi) Exit. Avoid lane 1
61,2019-05-30 13:32:59,30,13,Thursday,Accident on SLE (towards BKE) before Woodlands Ave 12 Exit. Avoid lane 1
62,2019-05-30 12:35:51,30,12,Thursday,Accident on CTE (towards SLE) after Moulmein Rd Exit. Avoid lane 4
63,2019-05-30 12:30:26,30,12,Thursday,Obstacle on PIE (towards Changi Airport) after Kallang Way
64,2019-05-30 11:36:35,30,11,Thursday,Accident on Victoria Street near Ophir Road/Victoria Street Junction
65,2019-05-30 11:08:16,30,11,Thursday,Accident on Ophir Road (towards Victoria Street) after Queen Street. Avoid left lane
66,2019-05-30 11:00:50,30,11,Thursday,Accident on PIE (towards Tuas) after Eng Neo Ave with congestion till Adam Rd Exit. Avoid lane 4
67,2019-05-30 10:54:23,30,10,Thursday,Accident on PIE (towards Tuas) after Eng Neo Ave. Avoid lane 4
68,2019-05-30 10:28:20,30,10,Thursday,Accident on Bukit Panjang Road near Bangkit Road/Bukit Panjang Road Junction
69,2019-05-30 10:24:05,30,10,Thursday,Heavy Traffic on PIE (towards Tuas) after Toh Guan Rd Exit
70,2019-05-30 10:00:40,30,10,Thursday,Accident on PIE (towards Tuas) after Toh Guan Rd Exit with congestion till Clementi Ave 6 Exit. Avoid lane 4
71,2019-05-30 09:59:31,30,9,Thursday,Accident on TPE (towards PIE) after Pasir Ris Dr 8 Exit. Avoid lane 4
72,2019-05-30 09:58:26,30,9,Thursday,Accident on PIE (towards Tuas) after Toh Guan Rd Exit. Avoid lane 4
73,2019-05-30 09:37:45,30,9,Thursday,Heavy Traffic on PIE (towards Tuas) after BKE
74,2019-05-30 09:28:39,30,9,Thursday,Heavy Traffic on AYE (towards Tuas) after Lower Delta Rd Exit
75,2019-05-30 09:13:09,30,9,Thursday,Accident on AYE (towards Tuas) after Lower Delta Rd Exit with congestion till Lower Delta Rd Exit. Avoid lane 1
76,2019-05-30 09:11:35,30,9,Thursday,Accident on PIE (towards Tuas) after BKE with congestion till Eng Neo Ave. Avoid lane 2
77,2019-05-30 09:09:52,30,9,Thursday,Accident on AYE (towards Tuas) after Lower Delta Rd Exit. Avoid lane 1
78,2019-05-30 09:04:00,30,9,Thursday,Accident on PIE (towards Tuas) after BKE with congestion till BKE. Avoid lane 2
79,2019-05-30 08:53:18,30,8,Thursday,Accident on PIE (towards Tuas) after BKE with congestion till BKE. Avoid lanes 2 and 3
80,2019-05-30 08:50:41,30,8,Thursday,Accident on PIE (towards Tuas) after BKE. Avoid lanes 2 and 3
81,2019-05-30 07:58:15,30,7,Thursday,Obstacle on TPE (towards PIE) after Pasir Ris Dr 12 Exit. Avoid lane 3
